#都市攻防戦　指令ウィンドウ
GAME_WARORDERWND_TITLE,"指令"
GAME_WARORDERWND_FILTERTAG,"ALL"
GAME_WARORDERWND_LIST_RESULT0,"達成"
GAME_WARORDERWND_LIST_RESULT1,"失敗"
GAME_WARORDERWND_DETAIL_TAG,"指令"
GAME_WARORDERWND_DETAIL0,"達成条件："
GAME_WARORDERWND_DETAIL1,"失敗条件："
GAME_WARORDERWND_DETAIL_ENEMY,"残り %d 体"
GAME_WARORDERWND_DETAIL_TIME,"残り %d 分"
GAME_WARORDERWND_DETAIL_RESULT,"この条件は満たされました"
GAME_WARORDERWND_DETAIL_MINI_TAG0,"条件１"
GAME_WARORDERWND_DETAIL_MINI_TAG1,"条件２"
GAME_WARORDERWND_DETAIL_MINI_TAG2,"条件３"
GAME_WARORDERWND_DETAIL_MINI_PARAM0,"%d体"
GAME_WARORDERWND_DETAIL_MINI_PARAM1,"残り% 2d分"
GAME_WARORDERWND_DETAIL_MINI_PARAM1_LAST,"残り僅か"


#都市攻防戦　奪還ゲージウィンドウ
GAME_RECAPTUREGAUGEWND_TITLE,"戦況"
GAME_RECAPTUREGAUGEWND_TITLE_PARAM,"戦況　残り% 2d分"
GAME_RECAPTUREGAUGEWND_TITLE_PARAM_LAST,"戦況　残り僅か"
GAME_RECAPTUREGAUGEMINIWND_TITLE_PARAM,"残り% 2d分"
GAME_RECAPTUREGAUGEMINIWND_TITLE_PARAM_LAST,"残り僅か"


#都市攻防戦　攻略戦受付ウィンドウ
GAME_CAPTURERECEPTIONWND_STR,"　　　　 貴方は防衛戦に勝利し一定の功績を残した為$r先行して攻略戦にエントリーできます！攻略戦に参加しますか？"
GAME_CAPTURERECEPTIONWND_ERR-1,"システムエラー"
GAME_CAPTURERECEPTIONWND_ERR-2,"都市攻防戦が終わっています"
GAME_CAPTURERECEPTIONWND_ERR-3,"参加人数が上限に達しましたので、攻略戦への参加は行えません"
GAME_CAPTURERECEPTIONWND_ERR-4,"既に攻略戦への参加受付が完了している状態です"
GAME_CAPTURERECEPTIONWND_ERR-10,"攻略戦へ参加できる状態ではありません"

